,id,name,railway,public_transport,station_code,network,internet_access,lat,lon,Station Code,Station Name,District,State,Trains passing through
299,600364202,Siddampalli,station,station,SIE,IR,no,13.1598669,79.1371192,SIE,Siddampalli,Chittoor,Andhra Pradesh,0
300,600393279,Rupsa Junction,station,station,ROP,IR,no,21.6223651,87.01887400000001,ROP,Rupsa Jn,Balasore,Odisha,8
301,600393296,Jaleswar,station,station,JER,IR,no,21.797637100000003,87.22006370000001,JER,Jaleswar,Balasore,Odisha,36
302,600395018,Sora,station,station,SORO,IR,no,21.291141800000002,86.6923513,SORO,Soro,Balasore,Odisha,20
303,600399581,Bhadrak Junction,station,station,BHC,IR,no,21.0909064,86.51654210000001,BHC,Bhadrakh,Bhadrak,Odisha,119
304,600418711,Jakhapura Junction,station,station,JKPR,IR,no,20.9162794,86.0647151,JKPR,Jakhapura,Jajpur,Odisha,4
305,600643762,Jajpur Keonjhar Road Junction,station,station,JJKR,IR,no,20.9435669,86.133103,JJKR,Jajpur Keonjhar Road,Jajpur,Odisha,97
306,600644263,Byree,station,station,BYY,IR,no,20.6284141,86.0351983,BYY,Byree,Jajpur,Odisha,0
307,600644273,Dhanmandal,station,station,DNM,IR,no,20.686843800000002,86.1124226,DNM,Dhanmandal,Jajpur,Odisha,6
308,600645253,Narayangarh,station,station,NYA,IR,no,22.1738624,87.3810303,NYA,Narayangarh,Paschim Medinipur,West Bengal,1
309,600748572,Vizianagaram Junction,station,station,VZM,IR,no,18.1114637,83.396325,VZM,Vizianagram Jn,Vizianagaram,Andhra Pradesh,179
310,600756813,Santragachi Junction,station,station,SRC,IR,no,22.584699500000003,88.2830722,SRC,Santragachi Jn,Kolkata,West Bengal,95
311,600807132,Visakhapatnam,station,station,VSKP,IR,wlan,17.7214305,83.29062230000001,VSKP,Visakhapatnam,Visakhapatnam,Andhra Pradesh,201
312,603241250,Gadwal,station,station,GWD,IR,no,16.2251954,77.809493,GWD,Gadwal,Jogulamba Gadwal,Telangana,38
313,603465184,Chigicherla,station,station,CCA,IR,no,14.5165673,77.6840937,CCA,Chigicherla,Anantapur,Andhra Pradesh,0
314,603465221,Zangalapalli,station,station,ZPL,IR,no,14.590082,77.64180300000001,ZPL,Zangalapalle,Anantapur,Andhra Pradesh,0
315,603465339,Ramaraju Palli,station,station,RRJ,IR,no,15.041212000000002,77.6174948,RRJ,Ramaraju Palli,Anantapur,Andhra Pradesh,0
316,603465353,Turkapalli,station,station,TKPY,IR,no,15.0872866,77.6281369,TKPY,Turakapalli,Anantapur,Andhra Pradesh,0
317,603465403,Pendekallu Junction,station,station,PDL,IR,no,15.374303900000001,77.6485895,PDL,Pendekallu,Kurnool,Andhra Pradesh,2
318,603465448,Malliyala,station,station,MYL,IR,no,15.3969207,77.7753409,MYL,Malliyala,Kurnool,Andhra Pradesh,0
319,603465494,Veldurti,station,station,VDI,IR,no,15.553559300000002,77.92745430000001,VDI,Veldurti,Kurnool,Andhra Pradesh,0
320,603465534,Dupadu,station,station,DUU,IR,no,15.7429853,78.01310550000001,DUU,Dupadu,Kurnool,Andhra Pradesh,0
321,603465550,Kurnool City,station,station,KRNT,IR,no,15.832599300000002,78.03262240000001,KRNT,Kurnool Town,Kurnool,Andhra Pradesh,50
322,603465570,Alampur Road,station,station,ALPR,IR,no,15.8955201,78.04681450000001,ALPR,Alampur Road,Jogulamba Gadwal,Telangana,0
323,603714964,Raiwala Junction,station,station,RWL,IR,,30.0324451,78.2098631,RWL,Raiwala,Dehradun,Uttarakhand,14
324,604925197,Turavur,station,station,TUVR,IR,no,9.7749279,76.3102752,TUVR,Turavur,Alappuzha,Kerala,14
325,604925313,Cherthala,station,station,SRTL,IR,no,9.691203600000001,76.32571680000001,SRTL,Shertalai,Alappuzha,Kerala,30
326,606355995,Jalgaon Junction,station,station,JL,IR,no,21.017979800000003,75.5632539,JL,Jalgaon Jn,Jalgaon,Maharashtra,141
